arret_id,annee,chambre,publication,origine,taille_texte,len_sommaire,nb_segments,has_sommaire,has_faits_procedure,has_moyens,has_motivations,has_dispositif,len_faits_procedure,len_moyens,len_motivations,len_dispositif,nb_avertissements,invariant_offsets_ok
60796a039ba5988459c49a69,2010,Première chambre civile,Publié au Bulletin,regles,6133,342,2,1,0,1,0,1,0,2201,0,3932,1,1
60796a0b9ba5988459c49a6c,2010,Première chambre civile,Publié au Bulletin,regles,5044,336,2,1,0,1,0,1,0,1219,0,3825,1,1
60796a129ba5988459c49a6f,2010,Première chambre civile,Publié au Bulletin,regles,6357,545,2,1,0,1,0,1,0,3389,0,2968,1,1
613727a4cd5801467742cfae,2010,Deuxième chambre civile,Non publié,regles,11886,0,2,0,0,1,0,1,0,3223,0,8663,1,1
613727a4cd5801467742cfb4,2010,Deuxième chambre civile,Non publié,regles,11868,0,2,0,0,1,0,1,0,3214,0,8654,1,1
613727a4cd5801467742cfb5,2010,Deuxième chambre civile,Non publié,regles,11876,0,2,0,0,1,0,1,0,3214,0,8662,1,1
613727a4cd5801467742cfb9,2010,Deuxième chambre civile,Non publié,regles,12617,0,2,0,0,1,0,1,0,3211,0,9406,1,1
613727a4cd5801467742cfdd,2010,Deuxième chambre civile,Non publié,regles,1480,0,2,0,0,1,0,1,0,1229,0,251,1,1
613727a4cd5801467742cfde,2010,Deuxième chambre civile,Non publié,regles,11564,0,2,0,0,1,0,1,0,2051,0,9513,1,1
613727a4cd5801467742cfe5,2010,Deuxième chambre civile,Non publié,regles,25065,0,2,0,0,1,0,1,0,7404,0,17661,1,1
613727a4cd5801467742cfeb,2010,Deuxième chambre civile,Non publié,regles,6456,0,2,0,0,1,0,1,0,2543,0,3913,1,1
613727a4cd5801467742cff2,2010,Deuxième chambre civile,Non publié,indetermine,8775,0,1,0,0,0,0,0,0,0,0,0,1,1
613727a4cd5801467742cff3,2010,Deuxième chambre civile,Non publié,indetermine,10398,0,1,0,0,0,0,0,0,0,0,0,1,1
613727a4cd5801467742cff6,2010,Deuxième chambre civile,Non publié,indetermine,9054,0,1,0,0,0,0,0,0,0,0,0,1,1
613727a6cd5801467742d07e,2010,Chambre sociale,Non publié,regles,7384,0,2,0,0,1,0,1,0,2322,0,5062,1,1
613727a6cd5801467742d080,2010,Chambre sociale,Non publié,regles,17412,0,2,0,0,1,0,1,0,5329,0,12083,1,1
613727a6cd5801467742d081,2010,Chambre sociale,Non publié,regles,16676,0,2,0,0,1,0,1,0,2456,0,14220,1,1
613727a6cd5801467742d082,2010,Chambre sociale,Non publié,regles,4940,0,2,0,0,1,0,1,0,1576,0,3364,1,1
613727a6cd5801467742d083,2010,Chambre sociale,Non publié,regles,6923,0,2,0,0,1,0,1,0,1178,0,5745,1,1
61402996fbf17fbb32ba91c3,2010,Autre,Publié au Bulletin,regles,5464,215,2,1,0,1,0,1,0,5011,0,453,1,1
